thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
105,"Dent, John",933821,2513,93,1973-74,PA,21,1,7,4,4,3,1,50,0,0,0,0,0,0,0,0,0,2.791796207,37,244,1.611568451,Exceeds Expectations
106,"Derwinski, Edward",931304,2525,93,1973-74,IL,4,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,0.089930311,145,196,0.4608711,Below Expectations
107,"Devine, Samuel",933512,2533,93,1973-74,OH,12,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0.099233449,140,196,0.4608711,Below Expectations
108,"Dickinson, William",930102,10717,93,1973-74,AL,2,0,1,0,0,0,0,29,2,2,2,1,3,0,0,0,0,0.91642499,20,196,0.379643977,Exceeds Expectations
109,"Diggs, Charles",932213,2594,93,1973-74,MI,13,1,1,1,1,1,0,55,11,11,10,9,1,0,0,0,0,5.520431519,16,244,6.93231535,Meets Expectations
110,"Dingell, John",932216,2605,93,1973-74,MI,16,1,3,2,2,1,0,120,1,1,1,0,3,0,0,0,0,1.899208903,62,244,1.665719867,Meets Expectations
111,"Donohue, Harold",932103,2660,93,1973-74,MA,3,1,1,1,1,1,1,19,1,1,1,0,3,1,1,1,1,1.420372844,78,244,1.774022698,Meets Expectations
112,"Dorn, William",934003,2672,93,1973-74,SC,3,1,2,2,2,2,2,93,2,2,2,0,2,0,0,0,0,2.935662746,35,244,6.048164845,Below Expectations
113,"Downing, Thomas",934601,2706,93,1973-74,VA,1,1,1,1,1,1,1,55,1,2,2,1,2,1,1,1,0,1.938508511,59,244,1.611568451,Meets Expectations
114,"Drinan, Robert",932104,13013,93,1973-74,MA,4,1,0,0,0,0,0,22,0,0,0,0,5,1,1,1,0,0.176888749,190,244,0.510812402,Below Expectations
115,"Dulski, Thaddeus",933237,2752,93,1973-74,NY,37,1,3,1,2,2,1,70,5,5,5,4,3,0,0,0,0,3.853629827,25,244,6.878163815,Meets Expectations
116,"Duncan, John",934202,10719,93,1973-74,TN,2,0,0,0,0,0,0,48,0,0,0,0,9,0,0,0,0,0.257386774,77,196,0.379643977,Meets Expectations
117,"Eckhardt, Bob",934308,11013,93,1973-74,TX,8,1,2,1,1,1,1,14,0,0,0,0,4,0,0,0,0,1.023219228,97,244,0.564963818,Exceeds Expectations
118,"Edwards, Don",930509,10583,93,1973-74,CA,9,1,0,0,0,0,0,25,0,0,0,0,4,0,0,0,0,0.133344948,199,244,1.557417035,Below Expectations
119,"Edwards, Jack",930101,10721,93,1973-74,AL,1,0,0,0,0,0,0,46,0,0,0,0,4,0,0,0,0,0.241881534,79,196,0.379643977,Meets Expectations
120,"Eilberg, Joshua",933804,11014,93,1973-74,PA,4,1,0,0,0,0,0,60,0,0,0,0,4,0,0,0,0,0.314239264,159,244,1.503265619,Below Expectations
121,"Erlenborn, John",931314,10722,93,1973-74,IL,14,0,2,1,1,0,0,42,0,0,0,0,0,0,0,0,0,0.612404943,37,196,0.379643977,Exceeds Expectations
122,"Esch, Marvin",932202,11015,93,1973-74,MI,2,0,3,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0.397967488,52,196,0.352568269,Meets Expectations
123,"Eshleman, Edwin",933816,11016,93,1973-74,PA,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.041347269,176,196,0.352568269,Below Expectations
124,"Evans, Frank",930603,10723,93,1973-74,CO,3,1,0,0,0,0,0,20,0,0,0,0,2,2,2,1,1,0.235506669,174,244,0.592039526,Below Expectations
125,"Evins, Joe",934204,3034,93,1973-74,TN,4,1,2,2,2,2,2,11,0,0,0,0,0,0,0,0,0,1.929632425,60,244,1.774022698,Meets Expectations
